Time_us	Amplitude_V
0.00	2.3751
50.00	2.3713
100.00	1.9937
150.00	2.0457
200.00	2.2044
250.00	2.1575
300.00	2.2233
350.00	2.1773
400.00	2.4621
450.00	2.5445
500.00	2.5639
550.00	2.7969
600.00	2.8139
650.00	2.7311
700.00	2.9261
750.00	2.7785
800.00	2.9705
850.00	2.7895
900.00	2.6651
950.00	2.4648
1000.00	2.5287
1050.00	2.1864
1100.00	1.9763
1150.00	1.8204
1200.00	1.7856
1250.00	1.6582
1300.00	1.5972
1350.00	1.5771
1400.00	1.8045
1450.00	1.5618
1500.00	1.6465
1550.00	1.7330
1600.00	2.0419
1650.00	2.2445
1700.00	2.2292
1750.00	2.2598
1800.00	2.3565
1850.00	2.6014
1900.00	2.6529
1950.00	2.6441
2000.00	2.4943
2050.00	2.5844
2100.00	2.5486
2150.00	2.5435
2200.00	2.6171
2250.00	2.5536
2300.00	2.6455
2350.00	2.6337
2400.00	2.7440
2450.00	2.8862
2500.00	2.7465
2550.00	2.9944
2600.00	3.0778
2650.00	3.1391
2700.00	3.2350
2750.00	3.4634
2800.00	3.1555
2850.00	3.3095
2900.00	2.8863
2950.00	2.9100
3000.00	2.8075
3050.00	2.6832
3100.00	2.5224
3150.00	2.3684
3200.00	2.0910
3250.00	1.9703
3300.00	2.0620
3350.00	1.9133
3400.00	1.8043
3450.00	1.8831
3500.00	2.0044
3550.00	2.2949
3600.00	2.3872
3650.00	2.5910
3700.00	2.5875
3750.00	2.7718
3800.00	2.9185
3850.00	2.8698
3900.00	2.9972
3950.00	2.8729
4000.00	2.8984
4050.00	2.8726
4100.00	2.7467
4150.00	2.9245
4200.00	2.7980
4250.00	2.8627
4300.00	2.9485
4350.00	2.9979
4400.00	3.0996
4450.00	3.1004
4500.00	3.1634
4550.00	3.3068
4600.00	3.2059
4650.00	3.3065
4700.00	3.3636
4750.00	3.4084
4800.00	3.5409
4850.00	3.3074
4900.00	3.2546
4950.00	3.3066
5000.00	2.9344
5050.00	2.8789
5100.00	2.4909
5150.00	2.4025
5200.00	2.1607
5250.00	2.1148
5300.00	2.1773
5350.00	1.8339
5400.00	2.1019
5450.00	2.1274
5500.00	2.1105
5550.00	2.1160
5600.00	2.4202
5650.00	2.4731
5700.00	2.6823
5750.00	2.7581
5800.00	3.0254
5850.00	2.8550
5900.00	2.7836
5950.00	2.9250
6000.00	2.9066
6050.00	3.0070
6100.00	2.9032
6150.00	2.8092
6200.00		2.9177
6250.00		2.5940
6300.00		2.6772
6350.00		2.6842
6400.00		2.8121
6450.00		2.7743
6500.00		3.1060
6550.00		3.0938
6600.00		3.0248
6650.00		3.1401
6700.00		3.3309
6750.00		3.3890
6800.00		3.4825
6850.00		3.5055
6900.00		3.0797
6950.00		2.7523
7000.00		2.4323
7050.00		2.5245
7100.00		2.1985
7150.00		2.0620
7200.00		1.8778
7250.00		1.8073
7300.00		1.8656
7350.00		1.7140
7400.00		1.6780
7450.00		1.6153
7500.00		1.6154
7550.00		1.8600
7600.00		2.0286
7650.00		2.3673
7700.00		2.2838
7750.00		2.4829
7800.00		2.3789
7850.00		2.3437
7900.00		2.3896
7950.00		2.4128
8000.00		2.7297
8050.00		2.3375
8100.00		2.4943
8150.00		2.2476
8200.00		2.4428
8250.00		2.3714
8300.00		2.3239
8350.00		2.3797
8400.00		2.3704
8450.00		2.5845
8500.00		2.5684
8550.00		2.5688
8600.00		2.6458
8650.00		2.8835
8700.00		3.0870
8750.00		2.9155
8800.00		2.8406
8850.00		2.8066
8900.00		2.8080
8950.00		2.5239
9000.00		2.2710
9050.00		2.2633
9100.00		1.9920
9150.00		1.9473
9200.00		1.6315
9250.00		1.3429
9300.00		1.2467
9350.00		1.5746
9400.00		1.5934
9450.00		1.4163
9500.00		1.4776
9550.00		1.8101
9600.00		1.6281
9650.00		1.7834
9700.00		2.0910
9750.00		2.0736
9800.00		2.2047
9850.00		2.2436
9900.00		2.3342
9950.00		2.4682
10000.00	2.2960
10050.00	2.3357
10100.00	1.9818
10150.00	2.1961
10200.00	2.0879
10250.00	2.0492
10300.00	2.1199
10350.00	2.2395
10400.00	2.4665
10450.00	2.2920
10500.00	2.5597
10550.00	2.6035
10600.00	2.7184
10650.00	2.9545
10700.00	2.9464
10750.00	3.0540
10800.00	2.8465
10850.00	2.7120
10900.00	2.6604
10950.00	2.5756
11000.00	2.4032
11050.00	2.0748
11100.00	2.0385
11150.00	1.8901
11200.00	2.0238
11250.00	1.8396
11300.00	1.4453
11350.00	1.4909
11400.00	1.3719
11450.00	1.5397
11500.00	1.7458
11550.00	1.9753
11600.00	1.8805
11650.00	2.0305
11700.00	1.9852
11750.00	2.3411
11800.00	2.3279
11850.00	2.4598
11900.00	2.4585
11950.00	2.5676
12000.00	2.3632
12050.00	2.3805
12100.00	2.7901
12150.00	2.3628
12200.00	2.3809
12250.00	2.7472
12300.00	2.9127
12350.00	2.4850
12400.00	2.6652
12450.00	2.8514
12500.00	3.1288
12550.00	2.9143
12600.00	3.1049
12650.00	3.3091
12700.00	3.3202
12750.00	3.2389
12800.00	3.2434
12850.00	3.0283
12900.00	3.0596
12950.00	2.9182
13000.00	2.8158
13050.00	2.5462
13100.00	2.4936
13150.00	2.3947
13200.00	2.1515
13250.00	2.0680
13300.00	1.9654
13350.00	1.9362
13400.00	1.8708
13450.00	2.0571
13500.00	2.1031
13550.00	2.4865
13600.00	2.5589
13650.00	2.5545
13700.00	2.5472
13750.00	2.6193
13800.00	2.9864
13850.00	2.9384
13900.00	3.0000
13950.00	2.7430
14000.00	3.0532
14050.00	2.9729
14100.00	2.7569
14150.00	2.8095
14200.00	2.8860
14250.00	2.8675
14300.00	2.8558
14350.00	2.9319
14400.00	2.9895
14450.00	3.1305
14500.00	3.3908
14550.00	3.0084
14600.00	3.3800
14650.00	3.5013
14700.00	3.5579
14750.00	3.4834
14800.00	3.2821
14850.00	3.4554
14900.00	3.5073
14950.00	2.9667
15000.00	3.0808
15050.00	2.7510
15100.00	2.5955
15150.00	2.3008
15200.00	2.2346
15250.00	2.3115
15300.00	2.1463
15350.00	2.2490
15400.00	2.1911
15450.00	2.1515
15500.00	2.3910
15550.00	2.3422
15600.00	2.5109
15650.00	2.5011
15700.00	2.6623
15750.00	2.6718
15800.00	2.9520
15850.00	2.7424
15900.00	3.0003
15950.00	2.8806
16000.00	3.0208
16050.00	2.9340
16100.00	3.0215
16150.00	2.8541
16200.00	2.5535
16250.00	2.7286
16300.00	2.6133
16350.00	2.7332
16400.00	3.0402
16450.00	3.0160
16500.00	2.9459
16550.00	2.9989
16600.00	3.2052
16650.00	3.1159
16700.00	3.2128
16750.00	3.3258
16800.00	3.3815
16850.00	3.2289
16900.00	2.7550
16950.00	2.9076
17000.00	2.6968
17050.00	2.5420
17100.00	2.4900
17150.00	1.8642
17200.00	1.8804
17250.00	1.8951
17300.00	1.5479
17350.00	1.8723
17400.00	1.7412
17450.00	1.8412
17500.00	1.7479
17550.00	2.0160
17600.00	2.1632
17650.00	2.1831
17700.00	2.2963
17750.00	2.3974
17800.00	2.3353
17850.00	2.4682
17900.00	2.4871
17950.00	2.5458
18000.00	2.5943
18050.00	2.3090
18100.00	2.3787
18150.00	2.5337
18200.00	2.2417
18250.00	2.2265
18300.00	2.3669
18350.00	2.4859
18400.00	2.4503
18450.00	2.6904
18500.00	2.7258
18550.00	2.8169
18600.00	2.8657
18650.00	3.1421
18700.00	2.8728
18750.00	2.6558
18800.00	3.0474
18850.00	2.7174
18900.00	2.6642
18950.00	2.6548
19000.00	2.1281
19050.00	1.9803
19100.00	1.7484
19150.00	1.6677
19200.00	1.6622
19250.00	1.5527
19300.00	1.4440
19350.00	1.2069
19400.00	1.1094
19450.00	1.4443
19500.00	1.4669
19550.00	1.6899
19600.00	1.8451
19650.00	1.9074
19700.00	2.1051
19750.00	2.1485
19800.00	2.2690
19850.00	2.1786
19900.00	2.2721
19950.00	2.3229
20000.00	2.3836
20050.00	2.2112
20100.00	2.2903
20150.00	2.1701
20200.00	2.1750
20250.00	2.2950
20300.00	1.9861
20350.00	2.1241
20400.00	2.1787
20450.00	2.1712
20500.00	2.4746
20550.00	2.7515
20600.00	2.7236
20650.00	2.8580
20700.00	3.0126
20750.00	3.0529
20800.00	2.8568
20850.00	2.9579
20900.00	2.6983
20950.00	2.4460
21000.00	2.3107
21050.00	2.0273
21100.00	1.9211
21150.00	1.8197
21200.00	1.8181
21250.00	1.8209
21300.00	1.3819
21350.00	1.5726
21400.00	1.4226
21450.00	1.6675
21500.00	1.6922
21550.00	1.6109
21600.00	2.0794
21650.00	2.0364
21700.00	2.1788
21750.00	2.2322
21800.00	2.3769
21850.00	2.5747
21900.00	2.5410
21950.00	2.6184
22000.00	2.6175
22050.00	2.7150
22100.00	2.4935
22150.00	2.3401
22200.00	2.6406
22250.00	2.4870
22300.00	2.6978
22350.00	2.6716
22400.00	2.6936
22450.00	2.8523
22500.00	3.1555
22550.00	3.2820
22600.00	3.1426
22650.00	3.2350
22700.00	3.3972
22750.00	3.1826
22800.00	3.2994
22850.00	3.1902
22900.00	3.1259
22950.00	2.8501
23000.00	2.5972
23050.00	2.3641
23100.00	2.3029
23150.00	2.2181
23200.00	2.0976
23250.00	2.2583
23300.00	2.0918
23350.00	1.8208
23400.00	1.9991
23450.00	1.9702
23500.00	2.0806
23550.00	2.2575
23600.00	2.4444
23650.00	2.4674
23700.00	2.7664
23750.00	2.6157
23800.00	2.8442
23850.00	3.2186
23900.00	2.9692
23950.00	3.1244
24000.00	2.9529
24050.00	2.9881
24100.00	2.8833
24150.00	2.8457
24200.00	2.7608
24250.00	2.9128
24300.00	2.7886
24350.00	3.0242
24400.00	3.1500
24450.00	3.1562
24500.00	3.1798
24550.00	3.3708
24600.00	3.3714
24650.00	3.5924
24700.00	3.3026
24750.00	3.4878
24800.00	3.2540
24850.00	3.2366
24900.00	3.4637
24950.00	3.2582
25000.00	2.8908
25050.00	2.6101
25100.00	2.2472
25150.00	2.3619
25200.00	2.5652
25250.00	2.2077
25300.00	2.0093
25350.00	2.0970
25400.00	1.8624
25450.00	2.0631
25500.00	2.1937
25550.00	2.2792
25600.00	2.5064
25650.00	2.5780
25700.00	2.7346
25750.00	2.6728
25800.00	2.9409
25850.00	3.0792
25900.00	2.7900
25950.00	2.7970
26000.00	3.0405
26050.00	2.8210
26100.00	2.9715
26150.00	2.7133
26200.00	2.9167
26250.00	2.7524
26300.00	2.7850
26350.00	2.9831
26400.00	2.8154
26450.00	2.8265
26500.00	2.9760
26550.00	3.1748
26600.00	3.0134
26650.00	3.3384
26700.00	3.2287
26750.00	3.4261
26800.00	2.9556
26850.00	3.0615
26900.00	2.8276
26950.00	2.7719
27000.00	2.7179
27050.00	2.4709
27100.00	2.2657
27150.00	2.0927
27200.00	1.9757
27250.00	1.7032
27300.00	1.8225
27350.00	1.7747
27400.00	1.7432
27450.00	1.8064
27500.00	1.8520
27550.00	2.1626
27600.00	2.0246
27650.00	2.1183
27700.00	2.1777
27750.00	2.2411
27800.00	2.2895
27850.00	2.3793
27900.00	2.4969
27950.00	2.5399
28000.00	2.4804
28050.00	2.3442
28100.00	2.5017
28150.00	2.4447
28200.00	2.3118
28250.00	2.2468
28300.00	2.4085
28350.00	2.4071
28400.00	2.2752
28450.00	2.5228
28500.00	2.6545
28550.00	2.6079
28600.00	2.8219
28650.00	2.6882
28700.00	3.0578
28750.00	3.0460
28800.00	2.8246
28850.00	2.8159
28900.00	2.3621
28950.00	2.3589
29000.00	2.2851
29050.00	2.0019
29100.00	2.0263
29150.00	2.0027
29200.00	1.4683
29250.00	1.3893
29300.00	1.4391
29350.00	1.5698
29400.00	1.2399
29450.00	1.4677
29500.00	1.7421
29550.00	1.4366
29600.00	1.6072
29650.00	1.8400
29700.00	1.9514
29750.00	2.2185
29800.00	2.2344
29850.00	2.0502
29900.00	2.3555
29950.00	2.2300
30000.00	2.4380
30050.00	2.1831
30100.00	2.1514
30150.00	2.2669
30200.00	2.2806
30250.00	2.2492
30300.00	2.0230
30350.00	2.3442
30400.00	2.2325
30450.00	2.4794
30500.00	2.3851
30550.00	2.7152
30600.00	2.6610
30650.00	2.6803
30700.00	2.9675
30750.00	2.9226
30800.00	2.7914
30850.00	2.9696
30900.00	2.6344
30950.00	2.5504
31000.00	2.4143
31050.00	2.1306
31100.00	2.0842
31150.00	1.7987
31200.00	1.6723
31250.00	1.7779
31300.00	1.4229
31350.00	1.2359
31400.00	1.7408
31450.00	1.9165
31500.00	1.6593
31550.00	1.5982
31600.00	1.9308
31650.00	2.0746
31700.00	2.2201
31750.00	2.2270
31800.00	2.5250
31850.00	2.5863
31900.00	2.3844
31950.00	2.6628
32000.00	2.8204
32050.00	2.5771
32100.00	2.4942
32150.00	2.5002
32200.00	2.5863
32250.00	2.3191
32300.00	2.5838
32350.00	2.5787
32400.00	2.9311
32450.00	2.7895
32500.00	3.1215
32550.00	2.9003
32600.00	3.2048
32650.00	3.2541
32700.00	3.1638
32750.00	3.3053
32800.00	3.4049
32850.00	3.1545
32900.00	2.8852
32950.00	2.9480
33000.00	2.6797
33050.00	2.5717
33100.00	2.4272
33150.00	2.0685
33200.00	1.9390
33250.00	2.0837
33300.00	1.8963
33350.00	1.6284
33400.00	2.0516
33450.00	2.0518
33500.00	2.0291
33550.00	2.0773
33600.00	2.4704
33650.00	2.5501
33700.00	2.9246
33750.00	2.8032
33800.00	2.8900
33850.00	2.8869
33900.00	3.0404
33950.00	3.0274
34000.00	3.0921
34050.00	2.8558
34100.00	2.8379
34150.00	2.8086
34200.00	2.9492
34250.00	3.0410
34300.00	2.8358
34350.00	2.8933
34400.00	3.0575
34450.00	3.0827
34500.00	3.3284
34550.00	3.0461
34600.00	3.3092
34650.00	3.3862
34700.00	3.2439
34750.00	3.4124
34800.00	3.3831
34850.00	3.3919
34900.00	3.4335
34950.00	3.1213
35000.00	2.8535
35050.00	2.7836
35100.00	2.7288
35150.00	2.3100
35200.00	2.1655
35250.00	2.2225
35300.00	2.0498
35350.00	2.1188
35400.00	2.0481
35450.00	2.1830
35500.00	2.0575
35550.00	2.2881
35600.00	2.3863
35650.00	2.3908
35700.00	2.4667
35750.00	2.8377
35800.00	2.7911
35850.00	2.7611
35900.00	2.8948
35950.00	3.0388
36000.00	2.6066
36050.00	2.6643
36100.00	2.6923
36150.00	2.9417
36200.00	2.7760
36250.00	2.8287
36300.00	2.6172
36350.00	2.6610
36400.00	2.9126
36450.00	2.9465
36500.00	3.0957
36550.00	3.0980
36600.00	3.2347
36650.00	3.2809
36700.00	3.3867
36750.00	3.3852
36800.00	3.0485
36850.00	2.8862
36900.00	3.1501
36950.00	3.0136
37000.00	2.5657
37050.00	2.2692
37100.00	2.3079
37150.00	2.2235
37200.00	2.1670
37250.00	1.8862
37300.00	1.6930
37350.00	1.5880
37400.00	1.6984
37450.00	1.7037
37500.00	1.6946
37550.00	2.1642
37600.00	2.2492
37650.00	2.2915
37700.00	2.1577
37750.00	2.4676
37800.00	2.5156
37850.00	2.5390
37900.00	2.6554
37950.00	2.5761
38000.00	2.5631
38050.00	2.5125
38100.00	2.4346
38150.00	2.1419
38200.00	2.3410
38250.00	2.2584
38300.00	2.1891
38350.00	2.5864
38400.00	2.6564
38450.00	2.6940
38500.00	2.6536
38550.00	2.8779
38600.00	2.8006
38650.00	2.8871
38700.00	2.7663
38750.00	2.9439
38800.00	2.8621
38850.00	2.6160
38900.00	2.6451
38950.00	2.4880
39000.00	2.5360
39050.00	2.2378
39100.00	1.9419
39150.00	1.7928
39200.00	1.6148
39250.00	1.4654
39300.00	1.2810
39350.00	1.3583
39400.00	1.2970
39450.00	1.2878
39500.00	1.5849
39550.00	1.6817
39600.00	1.5465
39650.00	1.8761
39700.00	2.1333
39750.00	2.2481
39800.00	2.3285
39850.00	2.2678
39900.00	2.1923
39950.00	2.1692
40000.00	2.3264
40050.00	2.6168
40100.00	3.0003
40150.00	3.2420
40200.00	3.3488
40250.00	3.4604
40300.00	3.8050
40350.00	4.0877
40400.00	4.2344
40450.00	4.3572
40500.00	4.5863
40550.00	4.5765
40600.00	4.5845
40650.00	4.6536
40700.00	4.4516
40750.00	4.3371
40800.00	4.0734
40850.00	3.5667
40900.00	3.2476
40950.00	3.0319
41000.00	2.2426
41050.00	1.6381
41100.00	1.1862
41150.00	0.9582
41200.00	0.5498
41250.00	0.1860
41300.00	0.0754
41350.00	0.0000
41400.00	0.0000
41450.00	0.0000
41500.00	0.0000
41550.00	0.0000
41600.00	0.0000
41650.00	0.2196
41700.00	0.5857
41750.00	1.1177
41800.00	1.5003
41850.00	1.5751
41900.00	2.1743
41950.00	2.2703
42000.00	2.7846
42050.00	2.8582
42100.00	3.1684
42150.00	3.4691
42200.00	4.0695
42250.00	4.0431
42300.00	4.0972
42350.00	4.5239
42400.00	4.5680
42450.00	4.7270
42500.00	5.0000
42550.00	5.0000
42600.00	5.0000
42650.00	4.9995
42700.00	4.9265
42750.00	4.7492
42800.00	4.2026
42850.00	4.1813
42900.00	3.5884
42950.00	3.0899
43000.00	2.7810
43050.00	2.3100
43100.00	1.7358
43150.00	1.4649
43200.00	0.7962
43250.00	0.5628
43300.00	0.2708
43350.00	0.1486
43400.00	0.0887
43450.00	0.0000
43500.00	0.2016
43550.00	0.2675
43600.00	0.2410
43650.00	0.4911
43700.00	1.0192
43750.00	1.3120
43800.00	1.6555
43850.00	1.9956
43900.00	2.3514
43950.00	2.7532
44000.00	2.8086
44050.00	3.0906
44100.00	3.3770
44150.00	3.8088
44200.00	4.1793
44250.00	4.2237
44300.00	4.2086
44350.00	4.5219
44400.00	4.8219
44450.00	5.0000
44500.00	5.0000
44550.00	5.0000
44600.00	5.0000
44650.00	5.0000
44700.00	5.0000
44750.00	4.8388
44800.00	4.7260
44850.00	4.1398
44900.00	3.9648
44950.00	3.4759
45000.00	2.9595
45050.00	2.6682
45100.00	1.9102
45150.00	1.7664
45200.00	1.0721
45250.00	0.5881
45300.00	0.4668
45350.00	0.1300
45400.00	0.0574
45450.00	0.1711
45500.00	0.2484
45550.00	0.2395
45600.00	0.6279
45650.00	0.8936
45700.00	1.2087
45750.00	1.4048
45800.00	1.8212
45850.00	1.7501
45900.00	2.2502
45950.00	2.4866
46000.00	2.8945
46050.00	3.0882
46100.00	3.4011
46150.00	3.9002
46200.00	3.8973
46250.00	4.2005
46300.00	4.3441
46350.00	4.5865
46400.00	4.7617
46450.00	4.9686
46500.00	5.0000
46550.00	5.0000
46600.00	5.0000
46650.00	5.0000
46700.00	4.7733
46750.00	4.6921
46800.00	4.5313
46850.00	4.1678
46900.00	3.6734
46950.00	3.2903
47000.00	2.7470
47050.00	2.3235
47100.00	1.7128
47150.00	1.1612
47200.00	0.8160
47250.00	0.0584
47300.00	0.1656
47350.00	0.0000
47400.00	0.0000
47450.00	0.0000
47500.00	0.0000
47550.00	0.0000
47600.00	0.0474
47650.00	0.5376
47700.00	0.5920
47750.00	1.2199
47800.00	1.2631
47850.00	1.6269
47900.00	2.0814
47950.00	2.2027
48000.00	2.3540
